 141.101.90.96 is reachable, taken time: 122.51 ms
 195.72.120.33 is reachable, taken time: 127.40 ms
 185.18.139.126 is reachable, taken time: 129.08 ms
 104.17.157.36 is reachable, taken time: 20.39 ms
 23.227.38.74 is reachable, taken time: 19.50 ms

 ----   2024-10-10 14:38:03 ---- 
 160.75.25.62 is reachable, taken time: 19.61 ms
 185.45.67.130 is reachable, taken time: 53.49 ms
 185.104.182.64 is reachable, taken time: 868.47 ms
 79.139.60.97 is reachable, taken time: 58.90 ms
 85.239.69.14 is reachable, taken time: 692.60 ms
 141.101.90.96 is reachable, taken time: 119.76 ms
 195.72.120.33 is reachable, taken time: 128.84 ms
 185.18.139.126 is reachable, taken time: 130.89 ms
 104.17.157.36 is reachable, taken time: 16.00 ms
 23.227.38.74 is reachable, taken time: 19.10 ms

 ----   2024-10-10 14:40:02 ---- 
 160.75.25.62 is reachable, taken time: 21.52 ms
 185.45.67.130 is reachable, taken time: 51.85 ms
 185.104.182.64 is reachable, taken time: 877.52 ms
 79.139.60.97 is reachable, taken time: 90.87 ms
 85.239.69.14 is reachable, taken time: 338.05 ms
 141.101.90.96 is reachable, taken time: 120.29 ms
 195.72.120.33 is reachable, taken time: 129.36 ms
 185.18.139.126 is reachable, taken time: 132.33 ms
 104.17.157.36 is reachable, taken time: 20.63 ms
 23.227.38.74 is reachable, taken time: 18.51 ms

 ----   2024-10-10 14:42:03 ---- 
 160.75.25.62 is reachable, taken time: 23.14 ms
 185.45.67.130 is reachable, taken time: 48.45 ms
 185.104.182.64 is reachable, taken time: 910.23 ms
 79.139.60.97 is reachable, taken time: 67.43 ms
 85.239.69.14 is reachable, taken time: 346.89 ms
 141.101.90.96 is reachable, taken time: 124.54 ms
 195.72.120.33 is reachable, taken time: 126.08 ms
 185.18.139.126 is reachable, taken time: 123.47 ms
 104.17.157.36 is reachable, taken time: 17.61 ms
 23.227.38.74 is reachable, taken time: 15.83 ms

 ----   2024-10-10 14:44:03 ---- 
 160.75.25.62 is reachable, taken time: 53.93 ms
 185.45.67.130 is reachable, taken time: 76.36 ms
 185.104.182.64 is reachable, taken time: 891.53 ms
 79.139.60.97 is reachable, taken time: 93.01 ms
 85.239.69.14 is reachable, taken time: 734.53 ms
 141.101.90.96 is reachable, taken time: 155.60 ms
 195.72.120.33 is reachable, taken time: 139.08 ms
 185.18.139.126 is reachable, taken time: 134.47 ms
 104.17.157.36 is reachable, taken time: 17.74 ms
 23.227.38.74 is reachable, taken time: 40.30 ms

 ----   2024-10-10 14:46:04 ---- 
 160.75.25.62 is reachable, taken time: 89.99 ms
 185.45.67.130 is reachable, taken time: 130.16 ms
 185.104.182.64 is reachable, taken time: 1899.56 ms
 79.139.60.97 is reachable, taken time: 106.46 ms
 85.239.69.14 is reachable, taken time: 994.23 ms
 141.101.90.96 is reachable, taken time: 120.50 ms
 195.72.120.33 is reachable, taken time: 158.43 ms
 185.18.139.126 is reachable, taken time: 147.28 ms
 104.17.157.36 is reachable, taken time: 37.09 ms
 23.227.38.74 is reachable, taken time: 55.51 ms

 ----   2024-10-10 14:48:07 ---- 
 160.75.25.62 is reachable, taken time: 34.33 ms
 185.45.67.130 is reachable, taken time: 73.02 ms
 185.104.182.64 is reachable, taken time: 1263.56 ms
 79.139.60.97 is reachable, taken time: 137.13 ms
